original_region,original_pdf,prior_cases_count,county,pdf_file
Clark,2021-07-28_ID 1307191 (002).pdf,7,Clark,2021-07-28_ID 1307191 (002).pdf
Clark,2021-08-02_ID 1486967.pdf,2,Clark,2021-08-02_ID 1486967.pdf
Clark,2021-08-03_ID 1436739(1).pdf,6,Clark,2021-08-03_ID 1436739(1).pdf
Clark,2021-08-04_ID 1486933.pdf,0,Clark,2021-08-04_ID 1486933.pdf
Clark,2021-08-07_ID 1487027.pdf,0,Clark,2021-08-07_ID 1487027.pdf
Clark,2021-08-10_ID 1419937.pdf,5,Clark,2021-08-10_ID 1419937.pdf
Clark,2021-08-11_ID 1487162 DUPE.pdf,0,Clark,2021-08-11_ID 1487162 DUPE.pdf
Clark,2021-08-11_ID 1487162(1).pdf,0,Clark,2021-08-11_ID 1487162(1).pdf
Clark,2021-08-13_ID 1487248.pdf,0,Clark,2021-08-13_ID 1487248.pdf
Clark,2021-08-19_ID 1487510.pdf,1,Clark,2021-08-19_ID 1487510.pdf
Clark,2021-08-20_ID 1485032.pdf,1,Clark,2021-08-20_ID 1485032.pdf
Clark,2021-08-26_ID 1487797 (002).pdf,0,Clark,2021-08-26_ID 1487797 (002).pdf
Clark,2021-09-08_ID 1471430(1) (002).pdf,1,Clark,2021-09-08_ID 1471430(1) (002).pdf
Clark,2021-09-10_ID 1488374(1).pdf,0,Clark,2021-09-10_ID 1488374(1).pdf
Clark,2021-09-12_ID 1468508(1).pdf,4,Clark,2021-09-12_ID 1468508(1).pdf
Clark,2021-09-12_ID 1468508_1_ada DUPE.pdf,4,Clark,2021-09-12_ID 1468508_1_ada DUPE.pdf
Clark,2021-09-14_ID 1425608.pdf,2,Clark,2021-09-14_ID 1425608.pdf
Clark,2021-09-23_ID 1488948.pdf,0,Clark,2021-09-23_ID 1488948.pdf
Clark,2021-10-01_ID 1489265 (002).pdf,3,Clark,2021-10-01_ID 1489265 (002).pdf
Clark,2021-10-03_ID 1489336 (002).pdf,0,Clark,2021-10-03_ID 1489336 (002).pdf
Clark,2021-10-11_ID 1384255.pdf,21,Clark,2021-10-11_ID 1384255.pdf
Clark,2021-10-15_ID 1452525.pdf,3,Clark,2021-10-15_ID 1452525.pdf
Clark,2021-10-17_ID 1489848 DUPE.pdf,1,Clark,2021-10-17_ID 1489848 DUPE.pdf
Clark,2021-10-17_ID 1489848(1).pdf,1,Clark,2021-10-17_ID 1489848(1).pdf
Clark,2021-10-27_ID 1490257 (002).pdf,13,Clark,2021-10-27_ID 1490257 (002).pdf
Clark,2021-10-29_ID 1366266.pdf,30,Clark,2021-10-29_ID 1366266.pdf
Clark,2021-11-08_ID 1395586 (003).pdf,9,Clark,2021-11-08_ID 1395586 (003).pdf
Clark,2021-11-08_ID 1456035.pdf,1,Clark,2021-11-08_ID 1456035.pdf
Clark,2021-11-10_ID 1489652.pdf,1,Clark,2021-11-10_ID 1489652.pdf
Clark,2021-11-19_ID 1440172.pdf,23,Clark,2021-11-19_ID 1440172.pdf
Clark,2021-12-08_ID 1491944.pdf,0,Clark,2021-12-08_ID 1491944.pdf
Clark,2021-12-09_ID 1492015 (002).pdf,0,Clark,2021-12-09_ID 1492015 (002).pdf
Clark,2021-12-11_ID 1483068.pdf,2,Clark,2021-12-11_ID 1483068.pdf
Clark,2021-12-14_ID 1478940.pdf,2,Clark,2021-12-14_ID 1478940.pdf
Clark,2021-12-17_ID 1492336.pdf,0,Clark,2021-12-17_ID 1492336.pdf
Clark,2021-12-20_ID 1437842.pdf,2,Clark,2021-12-20_ID 1437842.pdf
Clark,2021_01_12_ID_1480033.pdf,0,Clark,2021_01_12_ID_1480033.pdf
Clark,2021_01_17_ID_1475771.pdf,1,Clark,2021_01_17_ID_1475771.pdf
Clark,2021_01_20_ID_1474158.pdf,1,Clark,2021_01_20_ID_1474158.pdf
Clark,2021_01_22_ID_1439777.pdf,3,Clark,2021_01_22_ID_1439777.pdf
Clark,2021_01_22_ID_1479677.pdf,0,Clark,2021_01_22_ID_1479677.pdf
Clark,2021_01_24_ID_1476942.pdf,3,Clark,2021_01_24_ID_1476942.pdf
Clark,2021_02_02_ID_1480080.pdf,0,Clark,2021_02_02_ID_1480080.pdf
Clark,2021_02_04_ID_1307373.pdf,3,Clark,2021_02_04_ID_1307373.pdf
Clark,2021_02_05_ID_1480210_032521.pdf,0,Clark,2021_02_05_ID_1480210_032521.pdf
Clark,2021_02_08_ID_1459074.pdf,11,Clark,2021_02_08_ID_1459074.pdf
Clark,2021_02_12_ID_1455679.pdf,2,Clark,2021_02_12_ID_1455679.pdf
Clark,2021_02_13_ID_1480482.pdf,0,Clark,2021_02_13_ID_1480482.pdf
Clark,2021_02_15_ID_1462722.pdf,1,Clark,2021_02_15_ID_1462722.pdf
Clark,2021_02_22_ID_1480821.pdf,0,Clark,2021_02_22_ID_1480821.pdf
Clark,2021_02_28_ID_1481045.pdf,0,Clark,2021_02_28_ID_1481045.pdf
Clark,2021_03_09_ID_1366882(1).pdf,11,Clark,2021_03_09_ID_1366882(1).pdf
Clark,2021_03_11_ID_1481490.pdf,0,Clark,2021_03_11_ID_1481490.pdf
Clark,2021_03_12_ID_1481546.pdf,0,Clark,2021_03_12_ID_1481546.pdf
Clark,2021_03_16_ID_1481705.pdf,0,Clark,2021_03_16_ID_1481705.pdf
Clark,2021_03_18_ID_1481762.pdf,0,Clark,2021_03_18_ID_1481762.pdf
